"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 13:47:20 GMT 2023","Sun Dec 24 13:47:21 GMT 2023","936","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sun Dec 24 13:46:42 GMT 2023","Sun Dec 24 13:46:47 GMT 2023","5705","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sun Dec 24 13:47:12 GMT 2023","Sun Dec 24 13:47:12 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sun Dec 24 13:47:18 GMT 2023","Sun Dec 24 13:47:19 GMT 2023","1568","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sun Dec 24 13:47:11 GMT 2023","Sun Dec 24 13:47:11 GMT 2023","263","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sun Dec 24 13:47:19 GMT 2023","Sun Dec 24 13:47:20 GMT 2023","994","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sun Dec 24 13:46:56 GMT 2023","Sun Dec 24 13:47:03 GMT 2023","6792","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sun Dec 24 13:47:11 GMT 2023","Sun Dec 24 13:47:11 GMT 2023","245","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sun Dec 24 13:47:11 GMT 2023","Sun Dec 24 13:47:11 GMT 2023","257","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sun Dec 24 13:47:28 GMT 2023","Sun Dec 24 13:47:29 GMT 2023","1104","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sun Dec 24 13:47:12 GMT 2023","Sun Dec 24 13:47:12 GMT 2023","38","","Cypress Tests with Docker","","","","should load website",""
"passed","Sun Dec 24 13:47:11 GMT 2023","Sun Dec 24 13:47:12 GMT 2023","219","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sun Dec 24 13:46:41 GMT 2023","Sun Dec 24 13:46:41 GMT 2023","471","","Visual Regression","","","","Should load account activity",""
"passed","Sun Dec 24 13:46:54 GMT 2023","Sun Dec 24 13:46:55 GMT 2023","373","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sun Dec 24 13:46:41 GMT 2023","Sun Dec 24 13:46:42 GMT 2023","406","","Visual Regression","","","","Data table snapshot",""
