"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 13:46:32 GMT 2023","Thu Dec 21 13:46:32 GMT 2023","436","","Visual Regression","","","","Data table snapshot",""
"passed","Thu Dec 21 13:47:10 GMT 2023","Thu Dec 21 13:47:11 GMT 2023","999","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Thu Dec 21 13:47:02 GMT 2023","Thu Dec 21 13:47:02 GMT 2023","294","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Thu Dec 21 13:47:08 GMT 2023","Thu Dec 21 13:47:10 GMT 2023","1595","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Thu Dec 21 13:47:03 GMT 2023","Thu Dec 21 13:47:03 GMT 2023","14","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Thu Dec 21 13:47:11 GMT 2023","Thu Dec 21 13:47:12 GMT 2023","951","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Thu Dec 21 13:47:02 GMT 2023","Thu Dec 21 13:47:02 GMT 2023","348","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Thu Dec 21 13:47:03 GMT 2023","Thu Dec 21 13:47:03 GMT 2023","51","","Cypress Tests with Docker","","","","should load website",""
"passed","Thu Dec 21 13:47:18 GMT 2023","Thu Dec 21 13:47:19 GMT 2023","1124","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Thu Dec 21 13:46:47 GMT 2023","Thu Dec 21 13:46:54 GMT 2023","7087","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Thu Dec 21 13:46:45 GMT 2023","Thu Dec 21 13:46:45 GMT 2023","355","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Thu Dec 21 13:47:01 GMT 2023","Thu Dec 21 13:47:02 GMT 2023","295","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Thu Dec 21 13:46:31 GMT 2023","Thu Dec 21 13:46:32 GMT 2023","465","","Visual Regression","","","","Should load account activity",""
"passed","Thu Dec 21 13:46:32 GMT 2023","Thu Dec 21 13:46:38 GMT 2023","5711","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Thu Dec 21 13:47:02 GMT 2023","Thu Dec 21 13:47:03 GMT 2023","262","","Single Element Snapshot","","","","Should match a single element on the page",""
