"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 13:46:26 GMT 2023","Tue Dec 19 13:46:27 GMT 2023","447","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Tue Dec 19 13:46:14 GMT 2023","Tue Dec 19 13:46:14 GMT 2023","378","","Visual Regression","","","","Data table snapshot",""
"passed","Tue Dec 19 13:46:14 GMT 2023","Tue Dec 19 13:46:14 GMT 2023","203","","Visual Regression","","","","Should load account activity",""
"passed","Tue Dec 19 13:46:28 GMT 2023","Tue Dec 19 13:46:35 GMT 2023","6943","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Tue Dec 19 13:46:43 GMT 2023","Tue Dec 19 13:46:43 GMT 2023","227","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Tue Dec 19 13:46:42 GMT 2023","Tue Dec 19 13:46:42 GMT 2023","281","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Tue Dec 19 13:46:48 GMT 2023","Tue Dec 19 13:46:49 GMT 2023","1054","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Tue Dec 19 13:46:49 GMT 2023","Tue Dec 19 13:46:50 GMT 2023","921","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Tue Dec 19 13:46:43 GMT 2023","Tue Dec 19 13:46:43 GMT 2023","46","","Cypress Tests with Docker","","","","should load website",""
"passed","Tue Dec 19 13:46:56 GMT 2023","Tue Dec 19 13:46:57 GMT 2023","1120","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Tue Dec 19 13:46:42 GMT 2023","Tue Dec 19 13:46:42 GMT 2023","285","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Tue Dec 19 13:46:50 GMT 2023","Tue Dec 19 13:46:51 GMT 2023","841","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Tue Dec 19 13:46:14 GMT 2023","Tue Dec 19 13:46:20 GMT 2023","5617","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Tue Dec 19 13:46:43 GMT 2023","Tue Dec 19 13:46:43 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Tue Dec 19 13:46:42 GMT 2023","Tue Dec 19 13:46:43 GMT 2023","328","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
