"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 10:46:23 GMT 2023","Mon Dec 25 10:46:24 GMT 2023","357","","Visual Regression","","","","Data table snapshot",""
"passed","Mon Dec 25 10:46:52 GMT 2023","Mon Dec 25 10:46:52 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Mon Dec 25 10:46:57 GMT 2023","Mon Dec 25 10:46:58 GMT 2023","884","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Mon Dec 25 10:46:51 GMT 2023","Mon Dec 25 10:46:51 GMT 2023","267","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Mon Dec 25 10:46:38 GMT 2023","Mon Dec 25 10:46:45 GMT 2023","6860","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Mon Dec 25 10:46:58 GMT 2023","Mon Dec 25 10:46:59 GMT 2023","835","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Mon Dec 25 10:46:56 GMT 2023","Mon Dec 25 10:46:57 GMT 2023","1057","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Mon Dec 25 10:47:04 GMT 2023","Mon Dec 25 10:47:05 GMT 2023","1127","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Mon Dec 25 10:46:24 GMT 2023","Mon Dec 25 10:46:29 GMT 2023","5781","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Mon Dec 25 10:46:52 GMT 2023","Mon Dec 25 10:46:52 GMT 2023","48","","Cypress Tests with Docker","","","","should load website",""
"passed","Mon Dec 25 10:46:23 GMT 2023","Mon Dec 25 10:46:23 GMT 2023","200","","Visual Regression","","","","Should load account activity",""
"passed","Mon Dec 25 10:46:51 GMT 2023","Mon Dec 25 10:46:51 GMT 2023","248","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Mon Dec 25 10:46:36 GMT 2023","Mon Dec 25 10:46:36 GMT 2023","519","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Mon Dec 25 10:46:51 GMT 2023","Mon Dec 25 10:46:52 GMT 2023","239","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Mon Dec 25 10:46:51 GMT 2023","Mon Dec 25 10:46:51 GMT 2023","291","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
