"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 15:31:53 GMT 2023","Fri Dec 15 15:31:53 GMT 2023","261","","Visual Regression","","","","Should load account activity",""
"passed","Fri Dec 15 15:32:21 GMT 2023","Fri Dec 15 15:32:22 GMT 2023","1095","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Fri Dec 15 15:32:06 GMT 2023","Fri Dec 15 15:32:06 GMT 2023","233","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Fri Dec 15 15:32:07 GMT 2023","Fri Dec 15 15:32:07 GMT 2023","214","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Fri Dec 15 15:32:06 GMT 2023","Fri Dec 15 15:32:07 GMT 2023","277","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Fri Dec 15 15:32:14 GMT 2023","Fri Dec 15 15:32:15 GMT 2023","837","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Fri Dec 15 15:31:53 GMT 2023","Fri Dec 15 15:31:54 GMT 2023","335","","Visual Regression","","","","Data table snapshot",""
"passed","Fri Dec 15 15:32:07 GMT 2023","Fri Dec 15 15:32:07 GMT 2023","13","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Fri Dec 15 15:32:06 GMT 2023","Fri Dec 15 15:32:06 GMT 2023","247","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Fri Dec 15 15:32:13 GMT 2023","Fri Dec 15 15:32:14 GMT 2023","950","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Fri Dec 15 15:31:54 GMT 2023","Fri Dec 15 15:31:59 GMT 2023","5622","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Fri Dec 15 15:32:07 GMT 2023","Fri Dec 15 15:32:07 GMT 2023","40","","Cypress Tests with Docker","","","","should load website",""
"passed","Fri Dec 15 15:32:12 GMT 2023","Fri Dec 15 15:32:13 GMT 2023","1210","","Visual Regression -Login Page","","","","Desktop Layout",""
