"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 10:46:50 GMT 2023","Sat Dec 23 10:46:51 GMT 2023","279","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 23 10:46:51 GMT 2023","Sat Dec 23 10:46:51 GMT 2023","38","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 23 10:46:50 GMT 2023","Sat Dec 23 10:46:50 GMT 2023","252","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sat Dec 23 10:46:51 GMT 2023","Sat Dec 23 10:46:51 GMT 2023","314","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 23 10:47:03 GMT 2023","Sat Dec 23 10:47:05 GMT 2023","1108","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 23 10:46:51 GMT 2023","Sat Dec 23 10:46:51 GMT 2023","15","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sat Dec 23 10:46:23 GMT 2023","Sat Dec 23 10:46:23 GMT 2023","202","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 23 10:46:56 GMT 2023","Sat Dec 23 10:46:57 GMT 2023","1030","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 23 10:46:51 GMT 2023","Sat Dec 23 10:46:51 GMT 2023","246","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sat Dec 23 10:46:24 GMT 2023","Sat Dec 23 10:46:29 GMT 2023","5629","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 23 10:46:23 GMT 2023","Sat Dec 23 10:46:24 GMT 2023","350","","Visual Regression","","","","Data table snapshot",""
"passed","Sat Dec 23 10:46:57 GMT 2023","Sat Dec 23 10:46:58 GMT 2023","871","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 23 10:46:58 GMT 2023","Sat Dec 23 10:46:59 GMT 2023","821","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 23 10:46:37 GMT 2023","Sat Dec 23 10:46:44 GMT 2023","6566","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sat Dec 23 10:46:35 GMT 2023","Sat Dec 23 10:46:36 GMT 2023","441","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
