"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 13:46:35 GMT 2023","Mon Dec 25 13:46:40 GMT 2023","5576","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Mon Dec 25 13:46:49 GMT 2023","Mon Dec 25 13:46:56 GMT 2023","6882","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Mon Dec 25 13:47:03 GMT 2023","Mon Dec 25 13:47:03 GMT 2023","360","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Mon Dec 25 13:47:09 GMT 2023","Mon Dec 25 13:47:10 GMT 2023","800","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Mon Dec 25 13:47:10 GMT 2023","Mon Dec 25 13:47:10 GMT 2023","772","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Mon Dec 25 13:47:02 GMT 2023","Mon Dec 25 13:47:02 GMT 2023","310","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Mon Dec 25 13:47:08 GMT 2023","Mon Dec 25 13:47:09 GMT 2023","974","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Mon Dec 25 13:46:34 GMT 2023","Mon Dec 25 13:46:35 GMT 2023","426","","Visual Regression","","","","Data table snapshot",""
"passed","Mon Dec 25 13:47:03 GMT 2023","Mon Dec 25 13:47:03 GMT 2023","11","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Mon Dec 25 13:47:02 GMT 2023","Mon Dec 25 13:47:03 GMT 2023","356","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Mon Dec 25 13:47:15 GMT 2023","Mon Dec 25 13:47:17 GMT 2023","1102","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Mon Dec 25 13:47:03 GMT 2023","Mon Dec 25 13:47:03 GMT 2023","60","","Cypress Tests with Docker","","","","should load website",""
"passed","Mon Dec 25 13:46:47 GMT 2023","Mon Dec 25 13:46:47 GMT 2023","420","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Mon Dec 25 13:46:34 GMT 2023","Mon Dec 25 13:46:34 GMT 2023","201","","Visual Regression","","","","Should load account activity",""
"passed","Mon Dec 25 13:47:03 GMT 2023","Mon Dec 25 13:47:03 GMT 2023","263","","Single Element Snapshot","","","","Should match a single element on the page",""
