"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 08:09:15 GMT 2023","Sat Dec 16 08:09:16 GMT 2023","843","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 16 08:08:53 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","7013","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sat Dec 16 08:09:06 GMT 2023","Sat Dec 16 08:09:07 GMT 2023","289","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sat Dec 16 08:09:07 GMT 2023","Sat Dec 16 08:09:07 GMT 2023","340","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 16 08:09:08 GMT 2023","Sat Dec 16 08:09:08 GMT 2023","74","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 16 08:08:39 GMT 2023","Sat Dec 16 08:08:39 GMT 2023","203","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 16 08:08:39 GMT 2023","Sat Dec 16 08:08:45 GMT 2023","5597","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 16 08:08:39 GMT 2023","Sat Dec 16 08:08:39 GMT 2023","394","","Visual Regression","","","","Data table snapshot",""
"passed","Sat Dec 16 08:09:07 GMT 2023","Sat Dec 16 08:09:08 GMT 2023","269","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sat Dec 16 08:09:13 GMT 2023","Sat Dec 16 08:09:14 GMT 2023","1056","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 16 08:09:07 GMT 2023","Sat Dec 16 08:09:07 GMT 2023","351","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 16 08:08:51 GMT 2023","Sat Dec 16 08:08:52 GMT 2023","426","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sat Dec 16 08:09:14 GMT 2023","Sat Dec 16 08:09:15 GMT 2023","841","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 16 08:09:21 GMT 2023","Sat Dec 16 08:09:22 GMT 2023","1215","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 16 08:09:08 GMT 2023","Sat Dec 16 08:09:08 GMT 2023","13","","Cypress Tests with Docker","","","","should load h1 element",""
