"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 13:46:25 GMT 2023","Sat Dec 23 13:46:25 GMT 2023","579","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sat Dec 23 13:46:40 GMT 2023","Sat Dec 23 13:46:40 GMT 2023","253","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 23 13:46:40 GMT 2023","Sat Dec 23 13:46:41 GMT 2023","339","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 23 13:46:46 GMT 2023","Sat Dec 23 13:46:47 GMT 2023","997","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 23 13:46:41 GMT 2023","Sat Dec 23 13:46:41 GMT 2023","66","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 23 13:46:12 GMT 2023","Sat Dec 23 13:46:13 GMT 2023","243","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 23 13:46:13 GMT 2023","Sat Dec 23 13:46:19 GMT 2023","5673","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 23 13:46:41 GMT 2023","Sat Dec 23 13:46:41 GMT 2023","14","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sat Dec 23 13:46:41 GMT 2023","Sat Dec 23 13:46:41 GMT 2023","243","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sat Dec 23 13:46:47 GMT 2023","Sat Dec 23 13:46:48 GMT 2023","867","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 23 13:46:47 GMT 2023","Sat Dec 23 13:46:47 GMT 2023","854","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 23 13:46:54 GMT 2023","Sat Dec 23 13:46:55 GMT 2023","1122","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 23 13:46:27 GMT 2023","Sat Dec 23 13:46:33 GMT 2023","6742","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sat Dec 23 13:46:13 GMT 2023","Sat Dec 23 13:46:13 GMT 2023","421","","Visual Regression","","","","Data table snapshot",""
"passed","Sat Dec 23 13:46:40 GMT 2023","Sat Dec 23 13:46:40 GMT 2023","252","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
