"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 07:58:29 GMT 2023","Sat Dec 16 07:58:29 GMT 2023","319","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 16 07:58:30 GMT 2023","Sat Dec 16 07:58:30 GMT 2023","249","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sat Dec 16 07:58:01 GMT 2023","Sat Dec 16 07:58:01 GMT 2023","432","","Visual Regression","","","","Data table snapshot",""
"passed","Sat Dec 16 07:58:36 GMT 2023","Sat Dec 16 07:58:38 GMT 2023","1598","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 16 07:58:01 GMT 2023","Sat Dec 16 07:58:07 GMT 2023","5732","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 16 07:58:29 GMT 2023","Sat Dec 16 07:58:29 GMT 2023","284","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sat Dec 16 07:58:30 GMT 2023","Sat Dec 16 07:58:30 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sat Dec 16 07:58:30 GMT 2023","Sat Dec 16 07:58:30 GMT 2023","59","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 16 07:58:38 GMT 2023","Sat Dec 16 07:58:39 GMT 2023","1013","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 16 07:58:29 GMT 2023","Sat Dec 16 07:58:30 GMT 2023","339","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 16 07:58:46 GMT 2023","Sat Dec 16 07:58:47 GMT 2023","1141","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 16 07:58:01 GMT 2023","Sat Dec 16 07:58:01 GMT 2023","515","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 16 07:58:39 GMT 2023","Sat Dec 16 07:58:40 GMT 2023","921","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 16 07:58:15 GMT 2023","Sat Dec 16 07:58:21 GMT 2023","6373","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
